country_code,country_name,data_year,gdp_usd,gdp_per_capita_usd,population,life_expectancy,infant_mortality_per_1k,co2_per_capita_tons,literacy_rate_pct,internet_users_pct,unemployment_pct,inflation_cpi_pct,forest_area_pct,renewable_energy_pct,gini_index,electricity_access_pct,health_expenditure_per_capita_usd
MLI,Mali,2025,26794747239.8805,1094.61949265799,24478595,60.439,57.6,,35.4700012207031,35.0921,2.831,3.2063986409966,10.896663634352,71.1,35.7,54.5,33.9802475
MLT,Malta,2025,24971574502.4475,43898.5781808597,568847,83.5073170731707,4.8,,93.3099975585938,92.0727,2.896,1.65079469283109,1.4375,8.6,34.6,100,3623.4609375
MHL,Marshall Islands,2024,290108489.990234,7726.33668877794,37548,66.945,23.5,,95.8342549583425,65.7177,,,52.2222222222222,12.2,35.5,100,894.21533203
MRT,Mauritania,2025,10908045686.8808,2110.12036938187,5169395,68.484,31,,59.5299987792969,37.3809,10.319,2.49164347481972,0.287611138061512,19.6,32,50.3,92.11444092
MUS,Mauritius,2025,14937861786.17,11990.7798944837,1245779,73.4121951219512,13.5,,94.3265215627,79.5,5.635,3.6045220384796,19.4742113169755,8.6,36.8,100,616.20739746
MEX,Mexico,2025,1856365616165.94,14185.7812248529,130861007,75.069,10.8,,95.9040914864886,81.1832,2.673,4.72225588452932,33.5959176419147,13,43.5,99.7,760.98840332
FSM,"Micronesia, Fed. Sts.",2024,471425099.488675,4166.00476748564,113160,67.198,20.8,,,39.3833,,5.40874375479067,92.1571428571429,2,40.1,86.9,507.7762146
MDA,Moldova,2025,18200340853.6517,7576.19589413326,2402306,71.198,13.5,,99.3600006103516,80.2126,1.505,4.67773516007052,11.7370179167932,21.4,26.8,100,451.73007202
MCO,Monaco,2024,11125783372.4794,288001.433369041,38631,86.372,2.3,,,99.1497,,,0,,,100,8004.16845703
MNG,Mongolia,2025,23794540024.5132,6750.6301157724,3524788,72.1224390243902,11.4,,98.6399993896484,83.0162,5.233,6.20713301510303,9.09172405879304,3,31.4,100,359.60980225
MNE,Montenegro,2025,8270016670.86774,13263.3281277699,623525,77.5878048780488,2.1,,98.5299987792969,88.8826,13.572,3.33675009282281,61.4869888475836,39.6,34.3,100,1147.69787598
MAR,Morocco,2025,160610994054.734,4153.1943359375,38081173,75.313,15.5,,64.2600021362305,91,9,0.985256592004507,12.9371068787811,10.9,39.5,100,232.24751282
MOZ,Mozambique,2025,22745341305.0622,656.776824637306,34631766,63.611,45.4,,61.6778205151772,19.8434,6.628,4.07856834812022,45.8130349195046,76.9,49.6,36,52.96166611
MMR,Myanmar,2025,74068349523.8095,1359.05001560107,54500091,66.889,34.1,,93.5471293315427,58.5357,3.047,8.82506696804558,42.4023779245254,62.9,30.7,76.8,56.18909836
NAM,Namibia,2025,13372354511.716,4413.12752211572,3030131,67.385,38.4,,87.6399993896484,64.4061,19.291,4.23903922877036,7.80511120018463,30,59.1,56.7,397.09063721
NRU,Nauru,2024,162588620.632234,13609.158837552,11947,62.109,8.3,,96.5899963378906,81.6554,,-0.124750499001971,0,1.9,32.4,100,2292.37329102
NPL,Nepal,2025,42914268286.7109,1447.31004458428,29651054,70.354,23.3,,68.7099990844727,55.7716,10.465,4.6850965426577,41.5907220090687,73.7,30,94,83.96018982
NLD,Netherlands,2025,1214927698572.66,67520.4218956281,17993485,81.9146341463415,3.5,,,97.0068,3.874,3.34754304219953,11.0574428274428,12.2,25.7,100,6845.14208984
NCL,New Caledonia,2025,8548919387.12607,29213.1923192946,292639,78.766,,,96.1399993896484,82.0058,11.174,0.578317435520754,45.8271334792123,9.6,,100,
NZL,New Zealand,2025,260172385097.616,49205.1792146792,5287500,83.0048780487805,4,,,96.1638,5.076,2.92279782301957,37.7892841137822,28.9,,100,5022.03271484
