iata_code,icao_code,name,city,country_code,continent,latitude,longitude,elevation_ft,type,scheduled_service
OGN,ROYN,Yonaguni Airport,Yonaguni,JP,AS,24.467298,122.979827,70,medium_airport,yes
OGS,KOGS,Ogdensburg International Airport,Ogdensburg,US,NA,44.6819,-75.4655,297,medium_airport,yes
OGU,LTCB,Ordu–Giresun Airport,Ordu,TR,AS,40.966872,38.085995,11,medium_airport,yes
OGX,DAUU,Ain Beida Airport,Ouargla,DZ,AF,31.9172,5.41278,492,medium_airport,yes
OGZ,URMO,Vladikavkaz Beslan International Airport,Beslan,RU,EU,43.205101,44.606602,1673,medium_airport,yes
OHA,NZOH,RNZAF Base Ohakea,,NZ,OC,-40.20600128173828,175.38800048828125,164,medium_airport,no
OHD,LWOH,Ohrid St. Paul the Apostle Airport,Ohrid,MK,EU,41.18,20.7423,2313,large_airport,yes
OHE,ZYMH,Mohe Gulian Airport,Mohe,CN,AS,52.916871,122.422759,1836,medium_airport,yes
OHO,UHOO,Okhotsk Airport,Okhotsk,RU,AS,59.410065,143.056503,45,medium_airport,yes
OHS,OOSH,Suhar International Airport,Suhar,OM,AS,24.38604,56.62541,20,large_airport,yes
OIM,RJTO,Oshima Airport,Izu Oshima,JP,AS,34.782001495399996,139.36000061,130,medium_airport,yes
OIR,RJEO,Okushiri Airport,Okushiri Island,JP,AS,42.0717010498,139.432998657,161,medium_airport,yes
OIT,RJFO,Oita Airport,Oita,JP,AS,33.479400634799994,131.736999512,19,medium_airport,yes
OKA,ROAH,Naha International Airport,Naha,JP,AS,26.192437,127.639804,12,large_airport,yes
OKC,KOKC,OKC Will Rogers World Airport,Oklahoma City,US,NA,35.393388,-97.598248,1295,large_airport,yes
OKD,RJCO,Sapporo Okadama Airport,Sapporo,JP,AS,43.117447,141.38134,25,medium_airport,yes
OKE,RJKB,Okinoerabu Airport,Wadomari,JP,AS,27.431604,128.705564,101,medium_airport,yes
OKI,RJNO,Oki Global Geopark Airport,Okinoshima,JP,AS,36.178388,133.323566,311,medium_airport,yes
OKJ,RJOB,Okayama Momotaro Airport,Okayama,JP,AS,34.756901,133.854996,806,large_airport,yes
OKL,WAJO,Oksibil Airport,Oksibil,ID,AS,-4.9071,140.6277,4315,medium_airport,yes
OKN,FOGQ,Okondja Airport,Okondja,GA,AF,-0.665214,13.6731,1325,medium_airport,no
OKO,RJTY,Yokota Air Base,Fussa,JP,AS,35.748501,139.348007,463,medium_airport,no
OKY,YBOK,Oakey Army Aviation Centre,,AU,OC,-27.409262,151.736727,1335,medium_airport,yes
OLA,ENOL,Ørland Airport,Ørland,NO,EU,63.69889831542969,9.604000091552734,28,medium_airport,yes
OLB,LIEO,Olbia Costa Smeralda Airport,Olbia (SS),IT,EU,40.898953,9.518457,37,large_airport,yes
OLF,KOLF,L M Clayton Airport,Wolf Point,US,NA,48.094501,-105.574997,1986,medium_airport,yes
OLL,FCOD,Oyo Ollombo Airport,Oyo,CG,AF,-1.226666,15.91,1073,medium_airport,no
OLM,KOLM,Olympia Regional Airport,Olympia,US,NA,46.969399,-122.903,209,medium_airport,yes
OLS,KOLS,Nogales International Airport,Nogales,US,NA,31.4177,-110.848,3955,medium_airport,no
OLU,KOLU,Columbus Municipal Airport,Columbus,US,NA,41.448145,-97.340174,1447,medium_airport,no
OLZ,UEMO,Olyokminsk Airport,Olyokminsk,RU,AS,60.401833,120.476094,656,medium_airport,yes
OMA,KOMA,Eppley Airfield,Omaha,US,NA,41.3032,-95.894096,984,large_airport,yes
OMB,FOOH,Omboue Hospital Airport,Omboue,GA,AF,-1.57473,9.26269,33,medium_airport,no
OMC,RPVO,Ormoc Airport,Ormoc City,PH,AS,11.057715,124.565622,83,medium_airport,no
OMD,FYOG,Oranjemund Airport,Oranjemund,NA,AF,-28.5847,16.446699,14,medium_airport,yes
OME,PAOM,Nome Airport,Nome,US,NA,64.51219940185547,-165.44500732421875,37,medium_airport,yes
OMH,OITR,Urmia Airport,Urmia,IR,AS,37.6680984497,45.0686988831,4343,medium_airport,yes
OMN,UZTZ,Zomin Airport,Zomin,UZ,AS,40.01402,68.41103,1760,medium_airport,yes
OMO,LQMO,Mostar International Airport,Mostar,BA,EU,43.282489,17.846101,156,large_airport,yes
OMR,LROD,Oradea International Airport,Oradea,RO,EU,47.025299,21.9025,465,large_airport,yes
OMS,UNOO,Omsk Central Airport,Omsk,RU,AS,54.963124,73.312418,311,large_airport,yes
OND,FYOA,Ondangwa Airport,Ondangwa,NA,AF,-17.878201,15.9526,3599,medium_airport,yes
ONJ,RJSR,Odate Noshiro Airport,Kitaakita,JP,AS,40.191898,140.371002,292,medium_airport,yes
ONO,KONO,Ontario Municipal Airport,Oregon,US,NA,44.0198,-117.013289,2193,medium_airport,no
ONP,KONP,Newport Municipal Airport,Newport,US,NA,44.580399,-124.057999,160,medium_airport,no
ONQ,LTAS,Zonguldak Çaycuma Airport,Zonguldak,TR,AS,41.506401,32.0886,44,medium_airport,yes
ONT,KONT,Ontario International Airport,Ontario,US,NA,34.056,-117.600998,944,large_airport,yes
ONX,MPEJ,Enrique Adolfo Jimenez Airport,Colón,PA,NA,9.35664,-79.867401,25,medium_airport,yes
OOL,YBCG,Gold Coast Airport,Gold Coast,AU,OC,-28.165962,153.506641,21,large_airport,yes
OOM,YCOM,Cooma Snowy Mountains Airport,Cooma,AU,OC,-36.300445,148.972408,3088,medium_airport,yes
OPF,KOPF,Miami-Opa Locka Executive Airport,Miami,US,NA,25.907,-80.278397,8,medium_airport,yes
OPO,LPPR,Francisco de Sá Carneiro Airport,Porto,PT,EU,41.2481002808,-8.68138980865,228,large_airport,yes
OPU,AYBM,Balimo Airport,Balimo,PG,OC,-8.05000019073,142.932998657,51,medium_airport,yes
ORA,SASO,Orán Airport,Orán,AR,SA,-23.1528,-64.329201,1171,medium_airport,no
ORB,ESOE,Örebro Airport,Örebro,SE,EU,59.22370147705078,15.038000106811523,188,medium_airport,yes
ORD,KORD,Chicago O'Hare International Airport,Chicago,US,NA,41.9786,-87.9048,680,large_airport,yes
ORF,KORF,Norfolk International Airport,Norfolk,US,NA,36.895341,-76.201,26,large_airport,yes
ORH,KORH,Worcester Regional Airport,Worcester,US,NA,42.2673,-71.875702,1009,medium_airport,yes
ORK,EICK,Cork International Airport,Cork,IE,EU,51.841301,-8.49111,502,large_airport,yes
ORL,KORL,Orlando Executive Airport,Orlando,US,NA,28.5455,-81.332901,113,medium_airport,no
ORN,DAOO,Oran Es-Sénia (Ahmed Ben Bella) International Airport,Es-Sénia,DZ,AF,35.620648,-0.622486,295,large_airport,yes
ORT,PAOR,Northway Airport,Northway,US,NA,62.9613,-141.929001,1715,medium_airport,yes
ORU,SLOR,Juan Mendoza International Airport,Oruro,BO,SA,-17.956151,-67.075829,12152,large_airport,yes
ORY,LFPO,Paris-Orly Airport,"Paris (Orly, Val-de-Marne)",FR,EU,48.729499,2.358963,291,large_airport,yes
OSD,ESNZ,Åre Östersund Airport,Östersund,SE,EU,63.193546,14.504168,1233,large_airport,yes
OSH,KOSH,Wittman Regional Airport,Oshkosh,US,NA,43.98440170288086,-88.55699920654297,808,medium_airport,no
OSI,LDOS,Osijek Airport,Osijek(Klisa),HR,EU,45.462355,18.811278,290,medium_airport,yes
OSL,ENGM,Oslo-Gardermoen International Airport,Oslo (Gardermoen),NO,EU,60.193901,11.1004,681,large_airport,yes
OSM,ORBM,Mosul International Airport,Mosul,IQ,AS,36.305801,43.1474,719,large_airport,no
OSN,RKSO,Osan Air Base,Pyeongtaek,KR,AS,37.091457,127.029448,38,medium_airport,no
OSR,LKMT,Leoš Janáček Airport Ostrava,Mošnov,CZ,EU,49.696301,18.111099,844,large_airport,yes
OSS,UCFO,Osh International Airport,Osh,KG,AS,40.609001,72.793297,2927,large_airport,yes
OST,EBOS,Ostend-Bruges International Airport,Oostende,BE,EU,51.1998,2.874673,13,large_airport,yes
OSU,KOSU,The Ohio State University Airport - Don Scott Field,Columbus,US,NA,40.0798,-83.072998,905,medium_airport,no
OSW,UWOR,Orsk Airport,Orsk,RU,AS,51.072498,58.5956,909,medium_airport,yes
OTH,KOTH,Southwest Oregon Regional Airport,North Bend,US,NA,43.41709899902344,-124.24600219726562,17,medium_airport,yes
OTI,,Pitu Airport,Gotalalamo-Morotai Island,ID,AS,2.04599,128.324997,49,medium_airport,no
OTM,KOTM,Ottumwa Regional Airport,Ottumwa,US,NA,41.106368,-92.449837,845,medium_airport,no
OTP,LROP,Bucharest Henri Coandă International Airport,Otopeni,RO,EU,44.571792,26.103285,314,large_airport,yes
OTR,MRCC,Coto 47 Airport,Corredores,CR,NA,8.60156,-82.968754,26,medium_airport,no
OTZ,PAOT,Ralph Wien Memorial Airport,Kotzebue,US,NA,66.88469696,-162.598999,14,medium_airport,yes
OUA,DFFD,Ouagadougou Thomas Sankara International Airport,Ouagadougou,BF,AF,12.3532,-1.51242,1037,large_airport,yes
OUD,GMFO,Oujda Angads Airport,Ahl Angad,MA,AF,34.789558,-1.926041,1535,large_airport,yes
OUE,FCOU,Ouesso Airport,,CG,AF,1.61599,16.037901,1158,medium_airport,no
OUH,FAOH,Oudtshoorn Airport,Oudtshoorn,ZA,AF,-33.6069984436,22.188999176,1063,medium_airport,no
OUL,EFOU,Oulu Airport,Oulu / Oulunsalo,FI,EU,64.930099,25.354601,47,large_airport,yes
OVB,UNNT,Novosibirsk Tolmachevo Airport,Novosibirsk,RU,EU,55.019756,82.618675,365,large_airport,yes
OVD,LEAS,Asturias Airport,Ranón,ES,EU,43.563599,-6.03462,416,large_airport,yes
OVS,USHS,Sovetskiy Airport,Sovetskiy,RU,AS,61.326622009277344,63.60191345214844,351,medium_airport,yes
OWB,KOWB,Owensboro Daviess County Airport,Owensboro,US,NA,37.74010086,-87.16680145,407,medium_airport,yes
OWD,KOWD,Norwood Memorial Airport,Norwood,US,NA,42.1904983521,-71.1728973389,49,medium_airport,no
OXB,GGOV,Osvaldo Vieira International Airport,Bissau,GW,AF,11.894262,-15.653596,129,large_airport,yes
OXF,EGTK,London Oxford Airport,"Kidlington, Oxfordshire",GB,EU,51.836899,-1.32,270,medium_airport,no
OXR,KOXR,Oxnard Airport,Oxnard,US,NA,34.200801849365,-119.20700073242,45,medium_airport,no
OYA,SATG,Goya Airport,Goya,AR,SA,-29.1058,-59.2189,128,medium_airport,no
OYE,FOGO,Oyem Airport,Oyem,GA,AF,1.5431100130081177,11.581399917602539,2158,medium_airport,yes
OYK,SBOI,Oiapoque Airport,Oiapoque,BR,SA,3.85412,-51.797056,53,medium_airport,no
OYO,SAZH,Tres Arroyos Airport,Tres Arroyos,AR,SA,-38.3869,-60.3297,400,medium_airport,no
OYP,SOOG,Saint-Georges-de-l'Oyapock Airport,Saint-Georges-de-l'Oyapock,GF,SA,3.8976,-51.8041,46,medium_airport,no
OZC,RPMO,Labo Airport,Ozamiz,PH,AS,8.17851,123.842003,75,medium_airport,yes
OZG,GMAZ,Zagora Airport,Zagora,MA,AF,30.265788,-5.860808,2414,large_airport,yes
OZH,UKDE,Zaporizhzhia International Airport,Zaporizhia,UA,EU,47.866962,35.314723,373,large_airport,no
OZP,LEMO,Moron Air Base,Morón,ES,EU,37.17490005493164,-5.615940093994141,285,medium_airport,no
OZR,KOZR,Cairns AAF (Fort Rucker) Air Field,Fort Rucker/Ozark,US,NA,31.27569962,-85.71340179,301,medium_airport,no
OZZ,GMMZ,Ouarzazate International Airport,Ouarzazate,MA,AF,30.9391,-6.90943,3782,large_airport,yes
PAB,VEBU,Bilaspur Airport,Bilaspur,IN,AS,21.9884,82.111,899,medium_airport,yes
PAC,MPMG,Marcos A. Gelabert International Airport,Albrook,PA,NA,8.97334,-79.555603,31,medium_airport,yes
PAD,EDLP,Paderborn Lippstadt Airport,Büren,DE,EU,51.612527,8.617459,699,large_airport,yes
PAE,KPAE,Seattle Paine Field International Airport,Everett,US,NA,47.9063,-122.281998,606,medium_airport,yes
PAG,RPMP,Pagadian Airport,Pagadian,PH,AS,7.825632,123.459635,5,medium_airport,yes
PAH,KPAH,Barkley Regional Airport,Paducah,US,NA,37.06079864501953,-88.7738037109375,410,medium_airport,yes
PAL,SKPQ,German Olano Air Base,La Dorada,CO,SA,5.48361,-74.6574,566,medium_airport,no
PAM,KPAM,Tyndall Air Force Base,Panama City,US,NA,30.069599,-85.575401,17,medium_airport,no
PAN,VTSK,Pattani Airport,,TH,AS,6.78546,101.153999,8,medium_airport,no
PAO,KPAO,Palo Alto Airport,Palo Alto,US,NA,37.461102,-122.114998,4,medium_airport,no
PAP,MTPP,Toussaint Louverture International Airport,Port-au-Prince,HT,NA,18.580023,-72.292596,122,large_airport,yes
PAQ,PAAQ,"Warren ""Bud"" Woods Palmer Municipal Airport",Palmer,US,NA,61.594898,-149.08901,242,medium_airport,no
PAT,VEPT,Jay Prakash Narayan Airport,Patna,IN,AS,25.591299,85.087997,170,medium_airport,yes
PAV,SBUF,Paulo Afonso Airport,Paulo Afonso,BR,SA,-9.40088,-38.250599,883,medium_airport,yes
PAX,MTPX,Port-de-Paix Airport,Port-de-Paix,HT,NA,19.934045,-72.84801,9,medium_airport,no
PAZ,MMPA,El Tajín National Airport,Poza Rica,MX,NA,20.6026992798,-97.46080017090001,497,medium_airport,yes
PBC,MMPB,Hermanos Serdán International Airport,Puebla,MX,NA,19.158465,-98.371582,7361,large_airport,yes
PBD,VAPR,Porbandar Airport,Porbandar,IN,AS,21.649524,69.656405,23,medium_airport,yes
PBF,KPBF,"Pine Bluff Regional Airport, Grider Field",Pine Bluff,US,NA,34.174121,-91.935643,206,medium_airport,no
PBG,KPBG,Plattsburgh International Airport,Plattsburgh,US,NA,44.650902,-73.468102,234,medium_airport,yes
PBH,VQPR,Paro International Airport,Paro,BT,AS,27.4032,89.424599,7364,large_airport,yes
PBI,KPBI,Palm Beach International Airport,West Palm Beach,US,NA,26.683201,-80.095596,19,large_airport,yes
PBL,SVPC,General Bartolome Salom International Airport,Puerto Cabello,VE,SA,10.4805,-68.072998,32,medium_airport,no
PBM,SMJP,Johan Adolf Pengel International Airport,Paramaribo,SR,SA,5.45283,-55.187801,59,large_airport,yes
PBN,FNPA,Porto Amboim Airport,Port Amboim,AO,AF,-10.722,13.7655,16,medium_airport,no
PBO,YPBO,Paraburdoo Airport,Paraburdoo,AU,OC,-23.1711006165,117.745002747,1406,medium_airport,yes
PBR,MGPB,Puerto Barrios Airport,Puerto Barrios,GT,NA,15.7309,-88.583801,33,medium_airport,yes
PBU,VYPT,Putao Airport,Putao,MM,AS,27.32990074157715,97.42630004882812,1500,medium_airport,yes
PBZ,FAPG,Plettenberg Bay Airport,Plettenberg Bay,ZA,AF,-34.08816,23.328723,465,medium_airport,no
PCF,FAPS,Potchefstroom Airport,Potchefstroom,ZA,AF,-26.670999527,27.0818996429,4520,medium_airport,no
PCL,SPCL,Cap FAP David Abenzur Rengifo International Airport,Pucallpa,PE,SA,-8.378064,-74.574495,513,large_airport,yes
PCP,FPPR,Principe Airport,São Tomé & Príncipe,ST,AF,1.661155,7.411081,591,medium_airport,yes
PCR,SKPC,German Olano Airport,Puerto Carreño,CO,SA,6.18472,-67.4932,177,medium_airport,yes
PDA,SKPD,Obando Cesar Gaviria Trujillo Airport,Puerto Inírida,CO,SA,3.85353,-67.9062,460,medium_airport,yes
PDG,WIEE,Minangkabau International Airport,Padang (Katapiang),ID,AS,-0.785964,100.280384,18,medium_airport,yes
PDK,KPDK,DeKalb Peachtree Airport,Atlanta,US,NA,33.87633,-84.30213,1003,medium_airport,yes
PDL,LPPD,João Paulo II Airport,Ponta Delgada,PT,EU,37.7411994934,-25.6979007721,259,large_airport,yes
PDO,WIPQ,Pendopo Airport,Talang Gudang-Sumatra Island,ID,AS,-3.2860701084136963,103.87999725341797,184,medium_airport,yes
PDP,SULS,Capitan Corbeta CA Curbelo International Airport,Punta del Este,UY,SA,-34.855099,-55.094299,95,medium_airport,yes
PDS,MMPG,Piedras Negras International Airport,Piedras Negras,MX,NA,28.627873,-100.53524,901,medium_airport,yes
PDT,KPDT,Eastern Oregon Regional Airport at Pendleton,Pendleton,US,NA,45.695099,-118.841003,1497,medium_airport,yes
PDU,SUPU,Tydeo Larre Borges Airport,Paysandú,UY,SA,-32.3633,-58.061901,138,medium_airport,no
PDV,LBPD,Plovdiv International Airport,Plovdiv,BG,EU,42.067799,24.8508,597,large_airport,yes
