taxon,food_subtype,food_type,kingdom,phylum,class,order,suborder,family,subfamily,tribe,genus,species,subspecies,variety,form,group,cultivar,phenotype,binomial,nomial,trinomial,part_variant,classold,food_region,food_state,food_name_prefix,food_name,food_part,food_subpart,food_form_prefix,food_form,food_keywords,description_long,description_short,protein,lipid,carbohydrate,mineral,kilocalories,starch,sucrose,glucose,fructose,lactose,maltose,ethanol,water,caffeine,theobromine,kilojoules,sugar,galactose,fiber,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,fluoride,manganese,selenium,vitamin_a_ui,retinol,vitamin_a_rae,beta_carotene,alpha_carotene,alpha_tocopherol,vitamin_d,ergocalciferol,cholecalciferol,beta_cryptoxanthin,lycopene,lutein_and_zeaxanthin,beta_tocopherol,gamma_tocopherol,delta_tocopherol,alpha_tocotrienol,beta_tocotrienol,gamma_tocotrienol,delta_tocotrienol,ascorbic_acid,thiamin,riboflavin,niacin,pantothenic_acid,vitamin_b6,folate_total,cyanocobalamin,choline,menaquinone_4,dihydrophylloquinone,phylloquinone,folic_acid,folate,folate_dfe,betaine,tryptophan,threonine,isoleucine,leucine,lysine,methionine,cystine,phenylalanine,tyrosine,valine,arginine,histidine,alanine,aspartic_acid,glutamic_acid,glycine,proline,serine,hydroxyproline,cholesterol,fc04_d0,saturated_fat,c04_d0,c06_d0,c08_d0,c10_d0,c12_d0,c14_d0,c16_d0,c18_d0,c20_d0,c18_d1_undifferentiated,c18_d2_undifferentiated,c18_d3_undifferentiated,c20_d4_undifferentiated,c22_d6_n3_dha,c22_d0,c14_d1,c16_d1_undifferentiated,c18_d4,c20_d1,c20_d5_n3,c22_d1_undifferentiated,c22_d5_n3,phytosterol,stigmasterol,campesterol,beta_sitosterol,monounsaturated_fat,polyunsaturated_fat,c15_d0,c17_d0,c24_d0,c16_d1_trans,c18_d1_trans,c22_d1_trans,c18_d2_trans,c18_d2_mixed,c18_d2_trans_trans,c18_d2_clas,c24_d1_cis,c20_d2_n6_cis_cis,c16_d1_cis,c18_d1_cis,c18_d2_n6_cis_cis,c22_d1_cis,c18_d3_n6_cis_cis_cis,c17_d1,c20_d3_undifferentiated,trans_monoenoic_fat,trans_polyenoic_fat,c13_d0,c15_d1,c18_d3_n3_cis_cis_cis,c20_d3_n3,c20_d3_n6,c20_d4_n6,c18_d3_mixed,c21_d5,c22_d4,c18_d1_d11_t_c18_d1t_n7
Triticum monococcum,,plant,plantae,,,,,,,,Triticum,monococcum,,,,,,,Triticum monococcum,,,,,"turkey, black sea region",,,eincorn wheat,,,,,"cereals, siyez buğdayı, sep- nov 2014","Eincorn wheat, grain, raw [Siyez buğdayı]","EINCORN WHEAT, GRAIN, RAW",9.46,2.146666666666667,62.81333333333333,1.9066666666666665,331.02,,,,,,,,12.366666666666665,,,1398.5,,,11.303333333333333,59.79333333333333,3.1966666666666668,109.0,304.3333333333333,443.3333333333333,2.103333333333333,3.6166666666666667,0.38999999999999996,,,,,,,,,0.256,,,,,,,,,,,,,,,0.24666666666666667,0.041,1.1913333333333334,,,,,,,,,,,,,0.12069166666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polymina sonchifolia /Smallanthus sonchifolius,,plant,plantae,,,,,,,,Polymina,sonchifolia,,,,,ASL136,,Polymina sonchifolia /Smallanthus sonchifolius,,,,,ecuador,,,yacon,,,,,"starchy roots & tubers, other, asl136","Yacon, root, ASL136, peeled, raw cv. ASL136","YACON, ROOT, ASL136, PEELED, RAW",0.33,,,0.563,,,1.2,0.28,0.46,,,,86.4,,,,1.9,,,6.8,,,29.1,285.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polymina sonchifolia /Smallanthus sonchifolius,,plant,plantae,,,,,,,,Polymina,sonchifolia,,,,,AW5075,,Polymina sonchifolia /Smallanthus sonchifolius,,,,,ecuador,,,yacon,,,,,"starchy roots & tubers, other, aw5075","Yacon, root, AW5075, peeled, raw cv. AW5075","YACON, ROOT, AW5075, PEELED, RAW",0.35,,,0.4881,,,1.9,0.23,2.11,,,,90.2,,,,4.2,,,8.4,,,19.7,196.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polymina sonchifolia /Smallanthus sonchifolius,,plant,plantae,,,,,,,,Polymina,sonchifolia,,,,,ARB5027,,Polymina sonchifolia /Smallanthus sonchifolius,,,,,ecuador,,,yacon,,,,,"starchy roots & tubers, other, arb5027","Yacon, root, ARB5027, peeled, raw cv. ARB5027","YACON, ROOT, ARB5027, PEELED, RAW",0.47,,,0.5071,,,1.5,0.28,0.49,,,,88.6,,,,2.7,,,9.4,,,24.0,226.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polymina sonchifolia /Smallanthus sonchifolius,,plant,plantae,,,,,,,,Polymina,sonchifolia,,,,,ARB5073,,Polymina sonchifolia /Smallanthus sonchifolius,,,,,ecuador,,,yacon,,,,,"starchy roots & tubers, other, arb5073","Yacon, root, ARB5073, peeled, raw cv. ARB5073","YACON, ROOT, ARB5073, PEELED, RAW",0.49,,,0.4931,,,1.4,0.45,0.75,,,,88.5,,,,2.6,,,9.2,,,24.5,199.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polymina sonchifolia /Smallanthus sonchifolius,,plant,plantae,,,,,,,,Polymina,sonchifolia,,,,,ARB5074,,Polymina sonchifolia /Smallanthus sonchifolius,,,,,ecuador,,,yacon,,,,,"starchy roots & tubers, other, arb5074","Yacon, root, ARB5074, peeled, raw cv. ARB5074","YACON, ROOT, ARB5074, PEELED, RAW",0.37,,,0.4357,,,1.6,0.59,0.93,,,,89.1,,,,3.1,,,10.3,,,20.4,184.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polymina sonchifolia /Smallanthus sonchifolius,,plant,plantae,,,,,,,,Polymina,sonchifolia,,,,,ECU1243,,Polymina sonchifolia /Smallanthus sonchifolius,,,,,ecuador,,,yacon,,,,,"starchy roots & tubers, other, ecu1243","Yacon, root, ECU1243, peeled, raw cv. ECU1243","YACON, ROOT, ECU1243, PEELED, RAW",0.43,,,0.5369,,,1.0,0.24,1.14,,,,88.9,,,,2.4,,,13.1,,,30.2,236.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polymina sonchifolia /Smallanthus sonchifolius,,plant,plantae,,,,,,,,Polymina,sonchifolia,,,,,HN1013,,Polymina sonchifolia /Smallanthus sonchifolius,,,,,ecuador,,,yacon,,,,,"starchy roots & tubers, other, hn1013","Yacon, root, HN1013, peeled, raw cv. HN1013","YACON, ROOT, HN1013, PEELED, RAW",0.38,,,0.5015,,,1.3,0.4,0.66,,,,89.1,,,,2.4,,,7.6,,,23.2,232.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polymina sonchifolia /Smallanthus sonchifolius,,plant,plantae,,,,,,,,Polymina,sonchifolia,,,,,MHG919,,Polymina sonchifolia /Smallanthus sonchifolius,,,,,ecuador,,,yacon,,,,,"starchy roots & tubers, other, mhg919","Yacon, root, MHG919, peeled, raw cv. MHG919","YACON, ROOT, MHG919, PEELED, RAW",0.27,,,0.4275,,,1.3,0.3,0.56,,,,88.2,,,,2.2,,,6.1,,,18.2,206.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polymina sonchifolia /Smallanthus sonchifolius,,plant,plantae,,,,,,,,Polymina,sonchifolia,,,,,MHG923,,Polymina sonchifolia /Smallanthus sonchifolius,,,,,ecuador,,,yacon,,,,,"starchy roots & tubers, other, mhg923","Yacon, root, MHG923, peeled, raw cv. MHG923","YACON, ROOT, MHG923, PEELED, RAW",0.27,,,0.6014,,,1.2,0.33,0.39,,,,88.7,,,,2.0,,,10.1,,,30.9,294.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polymina sonchifolia /Smallanthus sonchifolius,,plant,plantae,,,,,,,,Polymina,sonchifolia,,,,,MHG927,,Polymina sonchifolia /Smallanthus sonchifolius,,,,,ecuador,,,yacon,,,,,"starchy roots & tubers, other, mhg927","Yacon, root, MHG927, peeled, raw cv. MHG927","YACON, ROOT, MHG927, PEELED, RAW",0.37,,,0.4944,,,1.1,0.28,0.43,,,,88.0,,,,1.8,,,5.6,,,22.4,238.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ullucus tuberosus,,plant,plantae,,,,,,,,Ullucus,tuberosus,,,,,U2/1212,,Ullucus tuberosus,,,,,new zealand,,,ulluco,,,,,"starchy roots & tubers, other, u2/1212","Ulluco, tuber, U2/1212, raw cv. U2/1212","ULLUCO, TUBER, U2/1212, RAW",1.70864,,,0.942112,,7.006368,,0.088736,,,,,81.12,,,,,,6.5608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
